day,type,energy_mwh
2026-03-12,Battery Storage,654.543440833333
2026-03-12,Brown coal,153669.2575458336
2026-03-12,GENERATOR,0.0
2026-03-12,Hydro,1976.3333333333333
2026-03-12,LOAD,0.0
2026-03-12,Natural Gas (Pipeline),0.0
2026-03-12,Solar,0.0
2026-03-12,UNKNOWN,0.0
2026-03-12,Wind,76179.975565833
2026-03-11,Battery Storage,2649.8250625
2026-03-11,Brown coal,824080.088136667
2026-03-11,GENERATOR,0.0
2026-03-11,Hydro,8110.193333333333
2026-03-11,LOAD,0.0
2026-03-11,Natural Gas (Pipeline),0.0
2026-03-11,Solar,87342.2438625002
2026-03-11,UNKNOWN,0.0
2026-03-11,Wind,510466.53023500094
2026-03-10,Battery Storage,34754.43055166669
2026-03-10,Brown coal,997876.7909708332
2026-03-10,GENERATOR,0.0
2026-03-10,Hydro,117814.77034583331
2026-03-10,LOAD,0.0
2026-03-10,Natural Gas (Pipeline),9853.815050000003
2026-03-10,Solar,138624.5582883333
2026-03-10,UNKNOWN,56.666666666666664
2026-03-10,Wind,95861.10318333372
2026-03-09,Battery Storage,36117.61753416663
2026-03-09,Brown coal,956934.9753700001
2026-03-09,GENERATOR,0.0
2026-03-09,Hydro,55513.89520416667
2026-03-09,LOAD,0.0
2026-03-09,Natural Gas (Pipeline),0.0
2026-03-09,Solar,112157.26973000017
2026-03-09,UNKNOWN,0.0
2026-03-09,Wind,150300.14806583384
2026-03-08,Battery Storage,7162.320320833335
2026-03-08,Brown coal,813991.8536383333
2026-03-08,GENERATOR,0.0
2026-03-08,Hydro,7571.251581666666
2026-03-08,LOAD,0.0
2026-03-08,Natural Gas (Pipeline),0.0
2026-03-08,Solar,71273.3598133331
2026-03-08,UNKNOWN,0.0
2026-03-08,Wind,357995.7926875002
2026-03-07,Battery Storage,21350.374448333343
2026-03-07,Brown coal,858149.2572033334
2026-03-07,GENERATOR,0.0
2026-03-07,Hydro,28237.467747499995
2026-03-07,LOAD,0.0
2026-03-07,Natural Gas (Pipeline),0.0
2026-03-07,Solar,103225.6263408332
2026-03-07,UNKNOWN,0.0
2026-03-07,Wind,306386.47206750006
2026-03-06,Battery Storage,32682.246694166675
2026-03-06,Brown coal,1064435.7728308337
2026-03-06,GENERATOR,0.0
2026-03-06,Hydro,73133.52613416666
2026-03-06,LOAD,0.0
2026-03-06,Natural Gas (Pipeline),0.0
2026-03-06,Solar,153381.00183083292
2026-03-06,UNKNOWN,0.0
2026-03-06,Wind,123698.91241583333
